project_id,deployment_id,subproject_name,subproject_design,placename,longitude,latitude,start_date,end_date,event_name,event_description,event_type,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,recorded_by,plot_treatment,plot_treatment_description,detection_distance
2006510,Snapshot_Japan_2023_Fukushima_Forest_NIES_C15,Fukushima_Forest_NIES,,Fukushima_Forest_NIES_C15,140.80628593,37.61188608,2023-08-22T13:35:00Z,2023-10-30 15:00:00,None,,None,None,,None,,Fukushima_Forest_NIES_174,0,Camera Functioning,Knee height,,Parallel,,,,,
2006510,Snapshot_Japan_2023_Fukushima_Forest_NIES_C16,Fukushima_Forest_NIES,,Fukushima_Forest_NIES_C16,140.75867885,37.58469841,2023-08-22T14:35:00Z,2023-10-30 15:00:00,None,,None,None,,None,,Fukushima_Forest_NIES_173,0,Camera Functioning,Knee height,,Parallel,,,,,
2006510,Snapshot_Japan_2023_Fukushima_Forest_NIES_C17,Fukushima_Forest_NIES,,Fukushima_Forest_NIES_C17,140.79366300,37.58132100,2023-08-22T12:37:00Z,2023-10-30 15:00:00,None,,None,None,,None,,Fukushima_Forest_NIES_177,0,Camera Functioning,Knee height,,Parallel,,,,,
2006510,Snapshot_Japan_2023_Fukushima_Forest_NIES_C19,Fukushima_Forest_NIES,,Fukushima_Forest_NIES_C19,140.72531485,37.57579991,2023-08-22T15:18:00Z,2023-10-30 15:00:00,None,,None,None,,None,,Fukushima_Forest_NIES_171,0,Camera Functioning,Knee height,,Parallel,,,,,
2006510,Snapshot_Japan_2023_Fukushima_Forest_NIES_C21,Fukushima_Forest_NIES,,Fukushima_Forest_NIES_C21,140.70706400,37.55796740,2023-08-22T16:06:00Z,2023-10-30 15:00:00,None,,None,None,,None,,Fukushima_Forest_NIES_191,0,Camera Functioning,Knee height,,Parallel,,,,,
2006510,Snapshot_Japan_2023_Fukushima_Forest_NIES_C22,Fukushima_Forest_NIES,,Fukushima_Forest_NIES_C22,140.83062385,37.55541525,2023-08-22T11:35:00Z,2023-10-30 15:00:00,None,,None,None,,None,,Fukushima_Forest_NIES_159,0,Camera Functioning,Knee height,,Parallel,,,,,
2006510,Snapshot_Japan_2023_Fukushima_Forest_NIES_C23,Fukushima_Forest_NIES,,Fukushima_Forest_NIES_C23,140.77600338,37.54934552,2023-08-23T11:15:00Z,2023-10-30 15:00:00,None,,None,None,,None,,Fukushima_Forest_NIES_175,0,Camera Functioning,Knee height,,Parallel,,,,,
2006510,Snapshot_Japan_2023_Fukushima_Forest_NIES_C24,Fukushima_Forest_NIES,,Fukushima_Forest_NIES_C24,140.73946290,37.54117424,2023-08-23T11:44:00Z,2023-10-30 15:00:00,None,,None,None,,None,,Fukushima_Forest_NIES_166,0,Camera Functioning,Knee height,,Parallel,,,,,
2006510,Snapshot_Japan_2023_Fukushima_Forest_NIES_C25,Fukushima_Forest_NIES,,Fukushima_Forest_NIES_C25,140.80615144,37.53782274,2023-08-23T10:55:00Z,2023-10-30 15:00:00,None,,None,None,,None,,Fukushima_Forest_NIES_165,0,Camera Functioning,Knee height,,Parallel,,,,,
2006510,Snapshot_Japan_2023_Fukushima_Forest_NIES_C27,Fukushima_Forest_NIES,,Fukushima_Forest_NIES_C27,140.69630039,37.51214507,2023-08-23T13:15:00Z,2023-10-30 15:00:00,None,,None,None,,None,,Fukushima_Forest_NIES_170,0,Camera Functioning,Knee height,,Parallel,,,,,
2006510,Snapshot_Japan_2023_Fukushima_Forest_NIES_CX01,Fukushima_Forest_NIES,,Fukushima_Forest_NIES_CX01,140.81554122,37.56218124,2023-08-22T10:55:00Z,2023-10-30 15:00:00,None,,None,None,,None,,Fukushima_Forest_NIES_169,0,Camera Functioning,Knee height,,Parallel,,,,,
2006510,Snapshot_Japan_2023_Fukushima_Forest_NIES_CX04,Fukushima_Forest_NIES,,Fukushima_Forest_NIES_CX04,140.67864183,37.47237920,2023-08-23T14:05:00Z,2023-10-30 15:00:00,None,,None,None,,None,,Fukushima_Forest_NIES_168,0,Camera Functioning,Knee height,,Parallel,,,,,
